konum,fiyat,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali
 Muğla,1950000.0,Volkswagen,Golf,1.5 eTSI Style,2021,60000.0,Yarı Otomatik,Hibrit,Hatchback/5,1498.0,150.0,Önden Çekiş,4.5,51.0,0.0,0,0
 Konya,1550000.0,Seat,Leon,1.0 eTSI Style,2024,37000.0,Yarı Otomatik,Hibrit,Hatchback/5,999.0,110.0,Önden Çekiş,5.3,45.0,0.0,0,0
 Samsun,1188750.0,Toyota,Corolla,1.8 Hybrid Dream,2019,150000.0,Otomatik,Hibrit,Sedan,1601.0,101.0,Önden Çekiş,3.5,43.0,10750.0,0,0
 Sakarya,1739750.0,Toyota,Corolla,1.8 Hybrid Flame X-Pack,2023,44000.0,Otomatik,Hibrit,Sedan,1601.0,101.0,Önden Çekiş,3.5,43.0,0.0,0,0
 Ankara,1168000.0,Toyota,Corolla,1.8 Hybrid Dream,2021,202000.0,Otomatik,Hibrit,Sedan,1798.0,98.0,Önden Çekiş,3.5,43.0,30.0,1,1
 Aydın,1349000.0,Toyota,Corolla,1.8 Hybrid Dream,2021,110000.0,Otomatik,Hibrit,Sedan,1798.0,98.0,Önden Çekiş,3.5,43.0,0.0,0,1
 Ankara,1325000.0,Toyota,Corolla,1.8 Hybrid Dream,2021,209000.0,Otomatik,Hibrit,Sedan,1798.0,98.0,Önden Çekiş,3.5,43.0,0.0,0,0
 Bayburt,1530000.0,Volkswagen,Golf,1.0 eTSI Life,2022,51200.0,Yarı Otomatik,Hibrit,Hatchback/5,999.0,110.0,Önden Çekiş,4.0,50.0,0.0,0,0
 Manisa,510000.0,Opel,Corsa,1.2 Twinport Essentia,2012,142000.0,Düz,Benzin,Hatchback/5,1229.0,85.0,Önden Çekiş,5.3,45.0,0.0,0,0
 Yozgat,340000.0,Fiat,Albea,Sole 1.4 Fire Premio,2011,320000.0,Düz,Benzin,Sedan,1368.0,77.0,Önden Çekiş,6.2,48.0,0.0,0,5
 Mersin,410000.0,Fiat,Punto,Grande 1.4 Fire Active,2007,141000.0,Düz,Benzin,Hatchback/3,1368.0,77.0,Önden Çekiş,5.9,45.0,0.0,0,3
 Adıyaman,495000.0,Fiat,Linea,1.4 Fire Actual,2013,161000.0,Düz,Benzin,Sedan,1368.0,77.0,Önden Çekiş,6.3,45.0,0.0,0,0
 Osmaniye,530000.0,Ford,Focus,1.6 Titanium,2010,176000.0,Otomatik,Benzin,Hatchback/5,1596.0,100.0,Önden Çekiş,6.7,55.0,0.0,3,7
 Adıyaman,455000.0,Ford,Focus,1.6 Titanium,2010,165000.0,Otomatik,Benzin,Sedan,1596.0,100.0,Önden Çekiş,6.7,55.0,0.0,3,9
